mlb_api_id,team_abbreviation,status,2026,acquired
518876,DEL,FA1,13.01985,FA 1/25
687330,MAI,O3,0.4,D 2019
608348,SAC,FA3,4.147501,T 11/25 (PON) G
547184,SAN,FA1,0.74,FA 8/24
805249,SAR,O1,0.5,D 2022
596146,NOR,FA,6.851474,T 11/23 (DEL)
689147,SAR,O2,0.6,D 2022
477132,LRR,FA1,0.42,FA 1/25
579328,PHO,FA5,15.692942,T 11/23 (CLI)
673490,EMP,FA1,5.017223,T 11/24 (SCS) (G)
808975,WYO,FA3,7.100001,FA 1/26
643396,LAK,FA1,4.752738,T 11/23 (CHA)
650633,BBS,A3,8.390840289,T 11/24 (SCS)
667463,MAI,FA1,0.995328,WC 1/24 (BAR)
687911,NOR,O1,0.5,D 2019
641755,PTR,FA1,1.0462,FA 1/25
669923,MAI,HD5,7.377379,D 2019
672386,BBS,A1,2.775363546,T 1/25 (EMP)
552640,SAC,FA2,2.30264,FA 1/26
677008,SAN,O3,0.6,D 2020
694361,MEM,O,0,D 2020
689017,MEM,O1,0.4,T 3/25 (VAN)
668800,LAK,FA2,0.4,FA 1/26
677610,EMP,O,0,T 12/21 (LEX)
686799,JAC,O2,0.5,D 2020
657649,LAK,O3,0.7,D 2021
663568,NEW,FA1,2.926468929,T 11/25 (LAK)
656629,MAI,A2,0.56,T 12/15 (DEL)
683766,STL,O1,0.5,T 11/22 (PGF)
663804,CHI,A2,0.4,D 2018
668820,MAI,FA3,1.564524,FA 1/26
665152,PUG,FA1,8.51319617,T 6/24 (CHA)
701762,GIL,O1,0.5,D 2024
680757,RIV,A1,3.985305,D 2018
663567,PON,FA4,0.4,FA 1/25
669127,LRR,A1,3.190724426,T 4/23 (MIN)
694671,GIL,O2,0.6,D 2023
691251,SPR,O,0,T 6/24 (PGF)
663616,CHI,O2,0.6728976,D 2018
656641,SIL,FA1,2.116488,FA 1/25
641778,MAI,FA4,5.745099,FA 1/26
657656,ECB,FA1,5.414281,T 1/18 (CCC)
681320,NEW,O,0,T 11/25 (CHA)
691783,SIL,O1,0.4,D 2021
664875,NEW,FA1,1,FA 1/26
676661,SPR,O1,0.5,R5 2024 (DEL)
681517,NEW,O3,0.7,FA 8/24
673929,DEL,O1,0.5,R5 2025 (MAI)/D 2021
695445,DEL,O1,0.5,D 2021
669276,GIL,FA2,2.430731295,T 10/25 (NEW)
808982,GIL,FA5,10.400002,FA 1/25
686676,PTR,O2,0.4,D 2019
686797,WYO,O2,0.4,D 2022
668984,PHO,O1,0.4,D 2021
683004,SAC,O2,0.6,D 2022
694175,STL,O,0,T 10/22 (BBS)
668904,SHS,O3,0.7,D2017
669461,STL,A1,0.7,T 11/22 (SPR)
695734,PTR,O1,0.5,D 2021
596019,DEL,FA1,9.7763,T 11/23 (BAR)
641793,MEM,FA1,11.9071468,D 2016
669193,LAK,O,0,D 2019
663893,NEW,O2,0.6,D 2017
681432,NEW,O2,0,T 1/23 (SPR)
594902,SHS,FA1,0.74,FA 1/24 (G)
